country,date,confirmed,deaths,recovered
Iran,2020-02-28,388,34,73
Iran,2020-02-29,593,43,123
Iran,2020-03-10,8042,291,2731
Iran,2020-03-11,9000,354,2959
Iran,2020-03-12,10075,429,2959
Iran,2020-03-13,11364,514,2959
Iran,2020-03-14,12729,611,2959
Iran,2020-03-15,13938,724,4590
Iran,2020-03-16,14991,853,4590
Iran,2020-03-17,16169,988,5389
Iran,2020-03-18,17361,1135,5389
Iran,2020-03-19,18407,1284,5710
Iran,2020-03-20,19644,1433,6745
Iran,2020-03-21,20610,1556,7635
Iran,2020-03-22,21638,1685,7931
Iran,2020-03-23,23049,1812,7931
Iran,2020-03-24,24811,1934,8913
